ID,RA,DEJ2000,Mass,z,SFR,NH,NH_err,OH,OH_err,,
696,34.79195,-4.8298,2.43E+10,0.888621,10.959334,0.350004,0.013325,8.639868,0.009354,,
697,34.803283,-4.896532,2.13E+10,0.920382,7.050391,0.366815,0.028145,8.652661,0.019183,,
698,34.807896,-4.895741,1.96E+10,0.918762,8.775209,0.338849,0.027278,8.63149,0.01938,,
700,34.816096,-4.861986,1.16E+10,0.890682,17.885323,0.28623,0.014708,8.590549,0.012946,,
702,34.832271,-4.883719,4.80E+09,0.899871,4.111005,0.202098,0.02964,8.505968,0.036749,,
703,34.838837,-4.884937,1.19E+10,0.870447,20.44948,0.141087,0.007876,8.414492,0.013547,,
704,34.850996,-4.889663,2.89E+10,0.917181,4.555819,0.416892,0.019777,8.682601,0.012125,,
705,34.852317,-4.845738,1.10E+10,0.900589,8.227641,0.224287,0.031363,8.53016,0.036314,,
706,34.859437,-4.860549,4.84E+10,0.918021,6.117105,0.377204,0.049894,8.662392,0.032672,,
709,34.869571,-4.887391,2.97E+10,0.920393,4.652117,0.488577,0.039468,8.722828,0.019913,,
711,34.655721,-4.778992,3.74E+09,0.845614,4.881505,0.024659,0.036589,8.076344,0.228044,,
716,34.512313,-4.849109,3.81E+09,0.804339,2.182631,0.185601,0.064153,8.484807,0.1109,,
720,34.362608,-5.023573,4.10E+09,0.860403,19.321913,0.058088,0.03435,8.208024,0.189781,,
722,34.400504,-5.022172,4.98E+09,0.857262,2.775244,0.088201,0.029547,8.303897,0.107785,,
723,34.403671,-5.010477,8.73E+09,0.973279,18.0632,0.177142,0.028416,8.47066,0.040711,,
726,34.433646,-5.073712,1.17E+10,0.878041,18.43984,0.20491,0.011584,8.507935,0.01377,,
727,34.462696,-5.050731,3.88E+10,0.872437,34.084507,0.471612,0.014287,8.713485,0.007434,,
728,34.593562,-5.021369,3.67E+09,0.839488,5.97043,0.085329,0.027909,8.293452,0.093315,,
729,34.268433,-4.828694,4.46E+09,0.869958,9.78688,0.217791,0.050188,8.526361,0.06185,,
732,34.188342,-4.985447,9.48E+09,0.802184,6.211658,0.334439,0.027628,8.629141,0.020453,,
733,34.199733,-4.968167,9.48E+09,0.802144,8.346926,0.287263,0.044096,8.590308,0.040876,,
735,34.252142,-5.016543,1.57E+10,0.988869,15.117079,0.156823,0.010599,8.442283,0.016687,,
737,34.285354,-4.974764,6.50E+09,0.896876,6.821949,0.273935,0.040524,8.578777,0.036083,,
739,34.325421,-5.040859,1.77E+10,0.922664,16.682289,0.224628,0.009935,8.530422,0.01091,,
5,149.91857,2.113262,1.27E+10,0.849777,5.025137,0.4986,0.044285,8.727414,0.022065,,
15,150.21813,2.115397,3.23E+09,1.01372,1.997514,0.282561,0.052072,8.588731,0.046245,,
